ID;Equipo;Modelo;N�mero de serie;Lugar de trabajo
MIC1;Micrófono de condensador;MicroMic C520 AKG;388043;Laboratorio / Trasladable
MIC2;Micrófono de condensador;MicroMic C520 AKG;388049;Laboratorio / Trasladable
MIC3;Micrófono de condensador;MicroMic C520 AKG;388047;Laboratorio / Trasladable
MIC4;Micrófono de condensador;MicroMic C520 AKG;388050;Laboratorio / Trasladable
MIC5;Micrófono de condensador;MicroMic C520 AKG;388051;Laboratorio / Trasladable
MIC6;Micrófono de condensador;MicroMic C520 AKG;388046;Laboratorio / Trasladable
SOP1;Soporte de micrófono;OMNITRONIC KS-4 Table Microphone Stand 6000601Q;;Laboratorio
SOP2;Soporte de micrófono;OMNITRONIC KS-4 Table Microphone Stand 6000601Q;;Laboratorio
MIC-G1;Micrófono de condensador de gran membrana;AKG C3000;CA3019-097819;Laboratorio
MIC-G2;Micrófono de condensador de gran membrana;AKG C3000;CA3019-100070;Laboratorio
ZOOM1;Grabadora portátil;Grabadora H4n Pro by Zoom;388054;Laboratorio / Trasladable
ZOOM2;Grabadora portátil;Grabadora H4n Pro by Zoom;388055;Laboratorio / Trasladable
ZOOM3;Grabadora portátil;Grabadora H4n Pro by Zoom;388053;Laboratorio / Trasladable
ZOOM4;Grabadora portátil;Grabadora H4n Pro by Zoom;388052;Laboratorio / Trasladable
